maps_played,rounds_played,kd_difference,kd_ratio,rating,total_kills,headshot_percentage,total_deaths,grenade_damage_per_round,kills_per_round,assists_per_round,deaths_per_round,teammate_saved_per_round,saved_by_teammate_per_round,kast,impact,efficiency
970,25491,5917,1.38,1.27,21602,41.3,15685,3.6,0.85,0.13,0.62,0.1,0.12,74.9,1.45,1.3709677419354838
1532,40464,8864,1.34,1.25,34647,41.3,25783,2.4,0.86,0.1,0.64,0.08,0.11,74.2,1.36,1.34375
847,22465,5361,1.45,1.23,17320,27.9,11959,3.9,0.77,0.11,0.53,0.08,0.11,76.3,1.21,1.4528301886792452
378,10219,2225,1.37,1.22,8219,36.9,5994,3.3,0.8,0.1,0.59,0.09,0.11,74.5,1.21,1.3559322033898307
829,21617,4118,1.32,1.2,16957,30.3,12839,2.9,0.78,0.11,0.59,0.08,0.1,73.7,1.24,1.3220338983050848
661,17582,3226,1.3,1.19,13820,34.8,10594,3.0,0.79,0.09,0.6,0.07,0.1,72.6,1.26,1.3166666666666669
860,22747,3775,1.27,1.18,17883,27.7,14108,2.4,0.79,0.1,0.62,0.08,0.1,71.6,1.27,1.2741935483870968
844,21625,3970,1.31,1.17,16815,31.5,12845,4.0,0.78,0.1,0.59,0.08,0.11,73.4,1.19,1.3220338983050848
1725,45404,6135,1.2,1.17,36911,53.3,30755,4.5,0.81,0.15,0.68,0.1,0.1,72.3,1.34,1.1911764705882353
428,11450,1822,1.26,1.17,8946,29.2,7124,2.5,0.78,0.09,0.62,0.09,0.11,71.3,1.22,1.2580645161290323
374,9935,1597,1.25,1.16,7867,39.7,6270,2.2,0.79,0.1,0.63,0.09,0.1,73.8,1.25,1.253968253968254
1793,46666,7208,1.25,1.16,36293,35.0,29085,4.3,0.78,0.13,0.62,0.07,0.08,71.2,1.28,1.2580645161290323
427,11298,2090,1.33,1.16,8421,31.4,6331,2.6,0.75,0.08,0.56,0.07,0.09,73.2,1.17,1.3392857142857142
1596,42408,5428,1.19,1.16,33800,50.5,28372,4.3,0.8,0.13,0.67,0.08,0.1,71.0,1.3,1.1940298507462686
1016,26493,3841,1.23,1.15,20329,39.8,16488,5.1,0.77,0.14,0.62,0.1,0.12,74.7,1.15,1.2419354838709677
1410,36822,5672,1.25,1.15,28326,49.4,22654,2.4,0.77,0.11,0.62,0.08,0.1,73.5,1.09,1.2419354838709677
694,17953,2392,1.2,1.15,14100,52.3,11708,2.7,0.79,0.12,0.65,0.09,0.1,73.3,1.23,1.2153846153846155
888,22524,3782,1.29,1.15,16985,35.2,13203,7.0,0.75,0.14,0.59,0.09,0.1,74.1,1.18,1.2711864406779663
834,22326,3429,1.25,1.15,16962,39.2,13533,7.0,0.76,0.14,0.61,0.07,0.09,74.0,1.21,1.2459016393442623
890,23120,3730,1.28,1.15,17117,49.6,13387,5.4,0.74,0.13,0.58,0.08,0.1,75.2,1.09,1.2758620689655173
603,15560,2046,1.2,1.14,12164,46.7,10118,4.2,0.78,0.14,0.65,0.07,0.1,71.7,1.25,1.2
1154,30609,5191,1.31,1.14,22028,25.2,16837,3.9,0.72,0.09,0.55,0.07,0.09,73.8,1.12,1.3090909090909089
1054,27629,3258,1.18,1.14,21580,40.8,18322,1.8,0.78,0.11,0.66,0.09,0.1,70.7,1.27,1.1818181818181819
625,15713,1750,1.16,1.13,12510,40.3,10760,3.6,0.8,0.18,0.68,0.1,0.13,73.3,1.29,1.1764705882352942
458,12268,1592,1.2,1.13,9397,28.4,7805,3.9,0.77,0.12,0.64,0.1,0.11,70.8,1.22,1.203125
1262,33663,4681,1.23,1.13,25346,27.2,20665,2.7,0.75,0.11,0.61,0.07,0.08,70.6,1.22,1.2295081967213115
1458,38450,4848,1.2,1.13,29326,30.5,24478,3.4,0.76,0.1,0.64,0.07,0.08,70.4,1.21,1.1875
1852,48898,6331,1.21,1.13,37067,31.2,30736,3.4,0.76,0.11,0.63,0.09,0.11,70.7,1.12,1.2063492063492063
1168,30540,3450,1.17,1.13,23231,54.8,19781,5.0,0.76,0.13,0.65,0.09,0.11,72.9,1.19,1.1692307692307693
1433,37829,4137,1.16,1.12,29347,49.4,25210,5.5,0.78,0.14,0.67,0.1,0.11,72.1,1.24,1.164179104477612
682,18286,2345,1.21,1.12,13659,35.8,11314,3.4,0.75,0.11,0.62,0.09,0.12,72.9,1.17,1.2096774193548387
982,25589,3107,1.19,1.12,19381,44.4,16274,4.9,0.76,0.15,0.64,0.09,0.11,73.3,1.16,1.1875
859,22286,2504,1.17,1.12,17206,50.2,14702,5.0,0.77,0.15,0.66,0.09,0.09,72.2,1.2,1.1666666666666667
742,18909,2151,1.18,1.12,14338,49.3,12187,2.9,0.76,0.13,0.64,0.09,0.11,72.9,1.15,1.1875
932,23654,2654,1.17,1.12,17975,42.4,15321,8.5,0.76,0.17,0.65,0.1,0.09,72.3,1.26,1.1692307692307693
559,14429,1455,1.15,1.12,11255,32.0,9800,4.1,0.78,0.13,0.68,0.1,0.09,69.5,1.39,1.1470588235294117
533,14130,1485,1.16,1.12,10883,47.0,9398,3.1,0.77,0.13,0.67,0.09,0.1,71.7,1.25,1.1492537313432836
1131,29650,3684,1.2,1.12,21900,32.3,18203,2.4,0.74,0.11,0.61,0.08,0.1,71.4,1.17,1.2131147540983607
458,12159,1550,1.2,1.12,9317,27.7,7766,2.6,0.77,0.1,0.64,0.07,0.09,71.4,1.22,1.203125
1090,28804,3640,1.21,1.12,21373,51.7,17733,2.4,0.74,0.11,0.62,0.07,0.09,72.5,1.1,1.1935483870967742
1233,32271,4176,1.21,1.12,24015,49.7,19839,3.2,0.74,0.12,0.61,0.08,0.11,73.3,1.06,1.2131147540983607
827,21606,2406,1.17,1.12,16548,32.7,14142,2.1,0.77,0.1,0.65,0.08,0.09,70.1,1.22,1.1846153846153846
